partner_code,partner_name,category,city_code,address,lat,lng,phone,description,benefit_type,benefit_title,benefit_description,benefit_display_copy,benefit_location_hint,route_code,settlement_policy_type,commission_rate,net_amount,status
YS-CF-001,[카페명],[cafe],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[업체 설명],[free|discount|gift],[혜택명 관리용],[조건 상세 예: 이용권 소지자 1인 1회],[UX 노출 문장 예: 잠깐 쉬어갈 수 있어요 ☕],[위치 힌트 예: 케이블카 하차장 도보 3분],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00 예: 0.20],[고정입금액 예: 12000],[active|inactive]
YS-CF-002,[카페명],[cafe],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[업체 설명],[free|discount|gift],[혜택명 관리용],[조건 상세],[UX 노출 문장],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-RS-001,[맛집명],[restaurant],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[대표메뉴·영업시간],[free|discount|gift],[혜택명 관리용],[조건 상세 예: 테이블당 1회],[UX 노출 문장 예: 여수 밥상의 정성을 담았어요 🍽️],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-RS-002,[맛집명],[restaurant],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[대표메뉴·영업시간],[free|discount|gift],[혜택명 관리용],[조건 상세],[UX 노출 문장],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-NT-001,[야간업체명],[night],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[영업시간·특이사항],[discount],[혜택명 관리용],[조건 상세 예: 소원항해단 구매 고객 한정],[UX 노출 문장 예: 오늘 밤을 조금 더 특별하게 🎶],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-AC-001,[액티비티명],[activity],[yeosu],[탑승·집결 주소],[위도],[경도],[전화번호],[운행시간·소요시간],[discount],[혜택명 관리용],[조건 상세 예: 판매가 기준 할인],[UX 노출 문장 예: 바다 위를 날아볼까요 🚡],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-TR-001,[교통명],[transport],[yeosu],[탑승 주소],[위도],[경도],[전화번호],[운항 시간·소요 시간],[discount],[혜택명 관리용],[조건 상세],[UX 노출 문장],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-HT-001,[숙소명],[accommodation],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[객실유형·체크인시간],[upgrade|discount],[혜택명 관리용],[조건 상세],[UX 노출 문장 예: 별빛 여행의 쉼터가 되어드릴게요 🌙],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-HT-002,[숙소명],[accommodation],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[객실유형·체크인시간],[upgrade|discount],[혜택명 관리용],[조건 상세],[UX 노출 문장],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
YS-ET-001,[기타업체명],[etc],[yeosu],[도로명 주소],[위도],[경도],[전화번호],[업체 설명],[gift|discount],[혜택명 관리용],[조건 상세],[UX 노출 문장],[위치 힌트],[weekday|starlit|family|challenge|all],[commission_rate|net_amount],[0.00~1.00],[고정입금액],[active|inactive]
