title,keyword,category,intent,cta,cta_link,publish_date,platform,status,author,views,url,thumbnail_prompt,thumbnail_url,alt_text
"새해 목표 세웠는데 3일 만에 무너질 때, 다시 시작하는 법","새해목표,작심삼일,목표달성",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-01,네이버,대기,Claude Code,0,,"A person standing up from fallen position, sunrise background, warm golden light, hopeful atmosphere, minimal illustration style --ar 16:9",,새해 목표 다시 시작하는 사람
"새해 소원, 크게 말 못 하겠다면 '작게 시작하는' 법","새해소원,작은시작,작은습관",wish,정보,나의 소원 등록하기,https://dailymiracles.kr/wish-form,2025-01-02,네이버,대기,Claude Code,0,,"A tiny seed sprouting in soft soil, gentle sunlight, pastel colors, hope and growth concept, minimal style --ar 16:9",,작은 씨앗에서 싹이 나는 모습
"새해에 돈 관리 시작하려면 무엇부터 해야 하나요?","돈관리,재테크초보,저축",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-03,네이버,대기,Claude Code,0,,"A simple piggy bank with coins, new year atmosphere, warm colors, friendly illustration style --ar 16:9",,새해 저금통과 동전
"새해에 바다 보러 가는 이유: 마음이 정리되는 과학과 체감","여수여행,새해여행,바다여행",yeosu,정보,여수항해 알아보기,https://dailymiracles.kr/wish-voyage,2025-01-04,네이버,대기,Claude Code,0,,"Beautiful sunrise over calm ocean, golden light rays, peaceful atmosphere, Yeosu Korea vibes --ar 16:9",,여수 바다 일출 풍경
"여수 1박2일 혼자 힐링 여행 코스 (마음정리 루트)","여수여행,혼자여행,힐링여행",yeosu,정보,여수항해 상담받기,https://dailymiracles.kr/wish-voyage,2025-01-05,네이버,대기,Claude Code,0,,"Yeosu night sea view, romantic lights, solo traveler silhouette, peaceful atmosphere --ar 16:9",,여수 밤바다 야경
"번아웃인지 게으름인지 헷갈릴 때 체크하는 5가지","번아웃,게으름,자기진단",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-06,네이버,대기,Claude Code,0,,"A tired person with checklist, soft colors, empathetic illustration, self-care concept --ar 16:9",,번아웃 자가진단 체크리스트
"30일 안에 루틴 만들기: 실패 확률 줄이는 설계법","루틴만들기,30일챌린지,습관",wish,정보,나의 소원 등록하기,https://dailymiracles.kr/wish-form,2025-01-07,네이버,대기,Claude Code,0,,"30-day calendar with checkmarks, progress visualization, motivating colors, clean design --ar 16:9",,30일 캘린더 체크 표시
"이직하고 싶은데 두려워서 못 움직일 때 첫 행동 1개","이직고민,이직두려움,커리어",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-08,네이버,대기,Claude Code,0,,"A person taking first step on new path, hopeful lighting, career change concept --ar 16:9",,새로운 길로 첫 걸음
"소원이 이루어질 사람의 특징 (현실적인 행동 버전)","소원,목표달성,성공습관",wish,정보,나의 소원 등록하기,https://dailymiracles.kr/wish-form,2025-01-09,네이버,대기,Claude Code,0,,"A glowing gemstone with action items around it, magical yet practical, warm colors --ar 16:9",,소원을 이루는 사람 특징
"인간관계가 피곤해서 다 끊고 싶을 때 (현실적인 해결)","인간관계,관계정리,피로",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-10,네이버,대기,Claude Code,0,,"A person finding peace among gentle connections, soft boundaries, calming illustration --ar 16:9",,인간관계 정리와 평화
"여수에서 '새출발' 기분 내는 장소 5곳","여수명소,새출발,여수여행",yeosu,정보,여수항해 알아보기,https://dailymiracles.kr/wish-voyage,2025-01-11,네이버,대기,Claude Code,0,,"Yeosu landmarks collage, fresh start vibes, beautiful scenery, travel inspiration --ar 16:9",,여수 새출발 명소 5곳
"여수 여행 가기 전 준비하면 좋은 체크리스트","여수여행,체크리스트,여행준비",yeosu,정보,여수항해 상담받기,https://dailymiracles.kr/wish-voyage,2025-01-12,네이버,대기,Claude Code,0,,"Travel checklist with Yeosu elements, organized packing, excitement atmosphere --ar 16:9",,여수 여행 준비 체크리스트
"매일 불안할 때 '생각 멈추는' 10분 루틴","불안,명상,마음관리",problem,정보,문제해결 상담받기,https://dailymiracles.kr/problem-solving,2025-01-13,네이버,대기,Claude Code,0,,"A calm mind visualization, 10 minute timer, peaceful meditation concept --ar 16:9",,10분 명상으로 불안 멈추기
"목표를 '행동'으로 바꾸는 방법: 1문장→3단계","목표설정,행동,실행력",wish,정보,나의 소원 등록하기,https://dailymiracles.kr/wish-form,2025-01-14,네이버,대기,Claude Code,0,,"Goal transforming into action steps, visual progression, motivating design --ar 16:9",,목표를 행동으로 바꾸는 3단계
